date,Month,Year,datetime,hour,cash_type,card,Price,coffee_name,Quantity,Sales,Store
01-03-2024,Mar,2024,01-03-2024 10:15:51,10,card,ANON-0000-0000-0001,38.7,Latte,3,116.10,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 12:19:23,12,card,ANON-0000-0000-0002,38.7,Hot Chocolate,2,77.40,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 12:20:18,12,card,ANON-0000-0000-0002,38.7,Hot Chocolate,3,116.10,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 13:46:33,13,card,ANON-0000-0000-0003,28.9,Americano,3,86.70,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 13:48:15,13,card,ANON-0000-0000-0004,38.7,Latte,3,116.10,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 15:39:48,15,card,ANON-0000-0000-0005,33.8,Americano with Milk,2,67.60,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 16:19:03,16,card,ANON-0000-0000-0006,38.7,Hot Chocolate,2,77.40,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 18:39:04,18,card,ANON-0000-0000-0007,33.8,Americano with Milk,3,101.40,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 19:22:02,19,card,ANON-0000-0000-0008,38.7,Cocoa,2,77.40,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 19:23:16,19,card,ANON-0000-0000-0008,33.8,Americano with Milk,1,33.80,Lower Manhattan
01-03-2024,Mar,2024,01-03-2024 19:29:17,19,card,ANON-0000-0000-0009,33.8,Americano with Milk,2,67.60,Lower Manhattan
02-03-2024,Mar,2024,02-03-2024 10:22:07,10,card,ANON-0000-0000-0010,28.9,Americano,2,57.80,Lower Manhattan
02-03-2024,Mar,2024,02-03-2024 10:30:36,10,cash,,40,Latte,2,80.00,Lower Manhattan
02-03-2024,Mar,2024,02-03-2024 10:41:41,10,card,ANON-0000-0000-0011,33.8,Americano with Milk,3,101.40,Lower Manhattan
02-03-2024,Mar,2024,02-03-2024 11:59:45,11,card,ANON-0000-0000-0012,33.8,Americano with Milk,2,67.60,Lower Manhattan
02-03-2024,Mar,2024,02-03-2024 14:38:36,14,card,ANON-0000-0000-0013,28.9,Americano,3,86.70,Lower Manhattan
02-03-2024,Mar,2024,02-03-2024 16:37:24,16,card,ANON-0000-0000-0014,33.8,Americano with Milk,1,33.80,Lower Manhattan
02-03-2024,Mar,2024,02-03-2024 17:34:55,17,card,ANON-0000-0000-0004,28.9,Americano,1,28.90,Hell's Kitchen
03-03-2024,Mar,2024,03-03-2024 10:10:44,10,cash,,40,Latte,1,40.00,Hell's Kitchen
03-03-2024,Mar,2024,03-03-2024 10:27:19,10,card,ANON-0000-0000-0015,38.7,Latte,2,77.40,Hell's Kitchen
03-03-2024,Mar,2024,03-03-2024 11:33:56,11,card,ANON-0000-0000-0016,28.9,Cortado,1,28.90,Hell's Kitchen
03-03-2024,Mar,2024,03-03-2024 12:26:56,12,card,ANON-0000-0000-0012,28.9,Americano,2,57.80,Lower Manhattan
03-03-2024,Mar,2024,03-03-2024 13:09:36,13,card,ANON-0000-0000-0017,38.7,Hot Chocolate,2,77.40,Lower Manhattan
03-03-2024,Mar,2024,03-03-2024 17:06:40,17,card,ANON-0000-0000-0018,38.7,Cocoa,1,38.70,Hell's Kitchen
03-03-2024,Mar,2024,03-03-2024 17:08:46,17,card,ANON-0000-0000-0019,28.9,Cortado,3,86.70,Hell's Kitchen
03-03-2024,Mar,2024,03-03-2024 18:03:23,18,card,ANON-0000-0000-0020,33.8,Americano with Milk,2,67.60,Lower Manhattan
03-03-2024,Mar,2024,03-03-2024 18:04:28,18,card,ANON-0000-0000-0020,33.8,Americano with Milk,2,67.60,Lower Manhattan
03-03-2024,Mar,2024,03-03-2024 18:08:05,18,card,ANON-0000-0000-0020,38.7,Hot Chocolate,2,77.40,Lower Manhattan
04-03-2024,Mar,2024,04-03-2024 10:03:52,10,card,ANON-0000-0000-0001,38.7,Latte,3,116.10,Lower Manhattan
04-03-2024,Mar,2024,04-03-2024 10:54:51,10,card,ANON-0000-0000-0021,38.7,Latte,2,77.40,Hell's Kitchen
04-03-2024,Mar,2024,04-03-2024 11:05:16,11,card,ANON-0000-0000-0012,33.8,Americano with Milk,1,33.80,Hell's Kitchen
04-03-2024,Mar,2024,04-03-2024 14:04:38,14,card,ANON-0000-0000-0022,24,Espresso,1,24.00,Lower Manhattan
05-03-2024,Mar,2024,05-03-2024 09:59:53,9,card,ANON-0000-0000-0001,38.7,Latte,1,38.70,Lower Manhattan
05-03-2024,Mar,2024,05-03-2024 14:34:56,14,card,ANON-0000-0000-0023,38.7,Latte,2,77.40,Lower Manhattan
05-03-2024,Mar,2024,05-03-2024 17:34:06,17,card,ANON-0000-0000-0024,38.7,Latte,1,38.70,Hell's Kitchen
05-03-2024,Mar,2024,05-03-2024 17:35:25,17,card,ANON-0000-0000-0025,38.7,Hot Chocolate,3,116.10,Lower Manhattan
05-03-2024,Mar,2024,05-03-2024 17:36:29,17,card,ANON-0000-0000-0026,38.7,Cocoa,1,38.70,Lower Manhattan
05-03-2024,Mar,2024,05-03-2024 17:37:14,17,card,ANON-0000-0000-0027,38.7,Hot Chocolate,2,77.40,Hell's Kitchen
05-03-2024,Mar,2024,05-03-2024 17:38:09,17,card,ANON-0000-0000-0009,38.7,Hot Chocolate,2,77.40,Hell's Kitchen
05-03-2024,Mar,2024,05-03-2024 17:56:16,17,card,ANON-0000-0000-0028,28.9,Cortado,2,57.80,Hell's Kitchen
05-03-2024,Mar,2024,05-03-2024 18:01:31,18,card,ANON-0000-0000-0028,38.7,Hot Chocolate,2,77.40,Hell's Kitchen
06-03-2024,Mar,2024,06-03-2024 12:30:27,12,cash,,35,Americano with Milk,1,35.00,Lower Manhattan
06-03-2024,Mar,2024,06-03-2024 13:24:08,13,card,ANON-0000-0000-0012,28.9,Americano,3,86.70,Lower Manhattan
06-03-2024,Mar,2024,06-03-2024 13:25:14,13,card,ANON-0000-0000-0012,28.9,Cortado,1,28.90,Lower Manhattan
06-03-2024,Mar,2024,06-03-2024 14:52:02,14,card,ANON-0000-0000-0029,38.7,Cappuccino,1,38.70,Lower Manhattan
06-03-2024,Mar,2024,06-03-2024 14:53:18,14,card,ANON-0000-0000-0029,38.7,Cappuccino,3,116.10,Lower Manhattan
07-03-2024,Mar,2024,07-03-2024 10:08:59,10,cash,,40,Latte,3,120.00,Lower Manhattan
07-03-2024,Mar,2024,07-03-2024 10:18:41,10,card,ANON-0000-0000-0030,38.7,Hot Chocolate,2,77.40,Lower Manhattan
07-03-2024,Mar,2024,07-03-2024 11:03:59,11,card,ANON-0000-0000-0031,38.7,Latte,2,77.40,Hell's Kitchen
07-03-2024,Mar,2024,07-03-2024 11:25:44,11,cash,,40,Latte,1,40.00,Hell's Kitchen
07-03-2024,Mar,2024,07-03-2024 15:40:23,15,card,ANON-0000-0000-0032,28.9,Americano,2,57.80,Hell's Kitchen
07-03-2024,Mar,2024,07-03-2024 15:41:29,15,card,ANON-0000-0000-0033,33.8,Americano with Milk,1,33.80,Lower Manhattan
